2025-08-11 05:41:35 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 270
2025-08-11 05:41:36 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 271
2025-08-11 05:41:37 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 272
2025-08-11 05:41:38 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 273
2025-08-11 05:41:39 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 274
2025-08-11 05:41:40 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 275
2025-08-11 05:41:41 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 276
2025-08-11 05:41:42 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 277
2025-08-11 05:41:43 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 278
2025-08-11 05:41:44 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 279
2025-08-11 05:41:45 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 280
